time,teacher_id,class_id,base_chapters,base_sections,style,rank,tag,day,chapter_id,cnt,label
2019-09-02 16:13:59,11585,1264064,86791,86792,10100,1,click,2019-09-02,86791,1.0,1
2019-09-02 15:23:42,55354,3523323,54944,54945,10110,1,click,2019-09-02,54944,1.0,1
2019-09-02 22:21:00,81183,3424444,87693,87694,10010,1,click,2019-09-02,87693,1.0,1
2019-09-02 06:53:47,101491,3684578,55312,55313,10100,1,click,2019-09-02,55312,1.0,1
2019-09-02 15:36:44,119287,2496100,55385,55386,10100,1,view,2019-09-02,55385,,0
2019-09-02 15:36:44,119287,2496100,55385,55387,10110,2,click,2019-09-02,55385,1.0,1
2019-09-02 19:38:52,152638,2077387,86791,"86792,86793",20110,1,click,2019-09-02,86791,1.0,1
2019-09-02 16:14:13,224407,3683413,87200,87203,10100,1,view,2019-09-02,87200,,0
2019-09-02 16:14:13,224407,3683413,87200,"87202,87203",20111,2,view,2019-09-02,87200,,0
2019-09-02 16:14:13,224407,3683413,87200,"87201,87202,87203",20111,3,view,2019-09-02,87200,,0
2019-09-02 16:14:13,224407,3683413,87200,"87203,87204",20111,4,view,2019-09-02,87200,,0
2019-09-02 16:14:13,224407,3683413,87200,87205,10100,5,view,2019-09-02,87200,,0
2019-09-02 16:14:13,224407,3683413,87200,"87201,87202,87203,87204",20111,6,view,2019-09-02,87200,,0
2019-09-02 16:14:13,224407,3683413,87200,"87202,87203,87204",20111,7,view,2019-09-02,87200,,0
2019-09-02 16:14:13,224407,3683413,87200,"87203,87204,87205",20111,8,view,2019-09-02,87200,,0
2019-09-02 16:14:13,224407,3683413,87200,"87202,87203,87204,87205",20101,9,view,2019-09-02,87200,,0
2019-09-02 16:14:13,224407,3683413,87200,"87201,87202,87203,87204,87206",20010,10,view,2019-09-02,87200,,0
2019-09-02 16:14:13,224407,3683413,87200,"87203,87204,87205,87206",20110,11,view,2019-09-02,87200,,0
2019-09-02 16:14:13,224407,3683413,87200,"87202,87203,87204,87205,87206",20100,12,view,2019-09-02,87200,,0
2019-09-02 16:14:13,224407,3683413,87200,"87201,87202,87203,87204,87206,87207,87208",20010,13,click,2019-09-02,87200,1.0,1
2019-09-02 21:23:42,265247,1692017,87097,87098,10100,1,click,2019-09-02,87097,1.0,1
2019-09-02 21:32:47,465801,483617,86889,86890,10100,1,click,2019-09-02,86889,1.0,1
2019-09-02 18:36:48,485738,3689881,88423,88425,10100,1,click,2019-09-02,88423,1.0,1
2019-09-02 13:31:56,544926,1184715,87182,87184,10100,1,view,2019-09-02,87182,,0
2019-09-02 13:31:56,544926,1184715,87182,87183,10110,2,click,2019-09-02,87182,1.0,1
2019-09-02 17:39:05,563467,577002,87097,87098,10100,1,click,2019-09-02,87097,1.0,1
